이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
그랜저IG 3.0,22950000,37,54648,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저IG 3.0,24600000,72,38221,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저IG,26300000,67,54243,가솔린,2999,9.9,전륜 FF,31.4,미등록,현대,266,0
그랜저IG 2.2,14990000,52,57751,디젤,2199,14.8,전륜 FF,45,등록,현대,202,1
그랜저IG 3.0,15990000,38,96190,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,1
그랜저HG 240,14800000,84,63133,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저IG 3.0,15990000,84,77453,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,0
그랜저IG 2.4,13500000,51,78179,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저HG 240,12990000,120,95522,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
그랜저IG 2.4,16500000,63,74509,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
그랜저HG 300,9500000,136,69884,가솔린,2999,11.6,전륜 FF,31.6,등록,현대,270,0
그랜저IG 하이브리드,28500000,54,50000,기타,2359,16.2,전륜 FF,26.7,등록,현대,199,1
그랜저IG 하이브리드,35500000,37,16555,기타,2359,16.2,전륜 FF,26.7,등록,현대,199,1
그랜저HG 300,9400000,80,89076,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저IG 하이브리드,19500000,68,110518,기타,2359,16.2,전륜 FF,26.7,등록,현대,199,0
그랜저IG 2.4,11600000,63,135300,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
그랜저IG 3.0,14000000,64,70640,가솔린,2999,9.9,전륜 FF,31.4,등록,현대,266,0
더 뉴 그랜저 하이브리드,31990000,26,66011,기타,2359,16.2,전륜 FF,25.1,등록,현대,200,1
그랜저IG 3.0,16990000,70,82975,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,0
그랜저 뉴 럭셔리,2400000,173,160993,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저 뉴 럭셔리,2400000,173,160993,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저HG 300,6400000,137,149534,가솔린,2999,11.6,전륜 FF,31.6,등록,현대,270,0
그랜저HG 330,8490000,126,83237,가솔린,3342,10.9,전륜 FF,35.3,등록,현대,294,0
더 뉴 그랜저 3.3,31500000,31,38160,가솔린,3342,9.7,전륜 FF,35,등록,현대,290,0
그랜저IG 하이브리드,25990000,65,66219,기타,2359,16.2,전륜 FF,26.7,등록,현대,199,0
더 뉴 그랜저 하이브리드,34500000,25,68867,기타,2359,16.2,전륜 FF,21,등록,현대,159,0
더 뉴 그랜저 2.5,34700000,47,63243,가솔린,2497,11.1,전륜 FF,25.3,등록,현대,198,0
그랜저IG 3.0,14300000,69,83996,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,0
더 뉴 그랜저 하이브리드,32800000,25,52000,기타,2359,16.2,전륜 FF,25.1,등록,현대,200,0
그랜저IG 3.0,19700000,64,45269,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,0
더 뉴 그랜저,22200000,17,63568,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,0
그랜저IG 3.0,21000000,52,63599,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저HG 300,5500000,137,183397,가솔린,2999,11.6,전륜 FF,31.6,등록,현대,270,0
그랜저TG Q270,2900000,181,126863,가솔린,2656,9.4,전륜 FF,25.6,등록,현대,195,0
그랜저HG 240,5900000,139,173861,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저 뉴 럭셔리,2800000,175,153709,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저TG Q270,2900000,183,179669,가솔린,2656,9.4,전륜 FF,25.6,등록,현대,195,0
더 뉴 그랜저 2.5,1900000,33,30500,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,0
그랜저IG,24990000,63,61800,가솔린,2999,9.9,전륜 FF,31.4,등록,현대,266,0
더 뉴 그랜저 3.0,26400000,24,44000,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,1
더 뉴 그랜저 2.5,1900000,33,30500,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,0
그랜저IG,24990000,63,61800,가솔린,2999,9.9,전륜 FF,31.4,등록,현대,266,0
더 뉴 그랜저 3.0,26400000,24,44000,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,1
그랜저HG 240,8700000,103,111120,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저HG 240,7500000,116,119169,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,8990000,85,113465,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저HG 240,8990000,81,134143,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저HG 240,6800000,142,120856,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,8990000,111,76579,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
그랜저HG 300,8700000,106,132231,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저IG 3.0,17990000,59,35741,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,1
더 뉴 그랜저 2.5,23500000,48,36697,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,0
그랜저IG 3.0,23990000,61,11211,가솔린,2999,9.9,전륜 FF,31.4,등록,현대,266,0
그랜저IG 3.0,17700000,45,80563,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,1
그랜저HG 300,8700000,111,131412,가솔린,2999,10.4,전륜 FF,31.5,등록,현대,270,0
그랜저IG 2.4,11990000,68,161619,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
그랜저IG 하이브리드,17700000,65,113145,가솔린,2359,16.2,전륜 FF,26.7,등록,현대,199,0
그랜저HG 220,7990000,87,172942,디젤,2199,13.8,전륜 FF,45,등록,현대,202,0
더 뉴 그랜저 하이브리드,34900000,29,44839,기타,2359,16.2,전륜 FF,25.1,등록,현대,200,1
그랜저IG,24500000,40,37663,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저HG 240,8790000,135,97000,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저IG 3.0,14500000,63,123000,LPG,2999,7.4,전륜 FF,28.6,등록,현대,235,0
그랜저HG 240,7600000,136,110000,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
더 뉴 그랜저 3.3,27900000,33,48706,가솔린,3342,9.7,전륜 FF,35,등록,현대,290,0
더 뉴 그랜저 2.5,30600000,28,41603,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저 2.5,31500000,25,37042,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저 2.5,32900000,24,14892,가솔린,2497,11.9,전륜 FF,25.3,등록,현대,198,1
더 뉴 그랜저 3.0,29990000,25,40953,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,0
더 뉴 그랜저 2.5,32600000,14,37385,가솔린,2497,11.6,전륜 FF,25.3,등록,현대,198,1
그랜저HG 240,4800000,125,149110,가솔린,2359,12.8,전륜 FF,25.5,등록,현대,201,0
그랜저HG 240,10800000,96,135000,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,190,0
그랜저IG,24500000,52,101833,가솔린,2359,11,전륜 FF,24.6,미등록,현대,190,1
그랜저IG,13000000,84,154000,LPG,2999,7.6,전륜 FF,28.6,미등록,현대,235,0
그랜저TG Q270,1490000,193,148586,가솔린,2656,9.4,전륜 FF,25.6,등록,현대,195,0
그랜저IG 2.4,14700000,57,72000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저HG 300,7900000,121,100000,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저HG 300,6300000,129,152000,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저HG 하이브리드,11000000,97,147000,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 하이브리드,8500000,101,127000,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 300,5500000,117,119000,가솔린,2999,12,전륜 FF,31.5,등록,현대,270,0
그랜저IG 3.0,15900000,61,80000,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,0
그랜저HG 300,4200000,133,86772,가솔린,2999,11.6,전륜 FF,31.6,등록,현대,270,0
그랜저HG 300,6990000,136,158000,가솔린,2999,11.6,전륜 FF,31.5,등록,현대,270,0
그랜저IG 3.0,16400000,56,121321,LPG,2999,7.6,전륜 FF,28.6,등록,현대,235,1
그랜저HG 300,5600000,129,111068,가솔린,2999,11.6,전륜 FF,31.5,등록,현대,270,0
그랜저HG 하이브리드,8400000,106,136659,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 300,8300000,79,105750,LPG,2999,8.9,전륜 FF,28.6,등록,현대,235,0
그랜저IG 3.0,14990000,65,119876,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,0
그랜저IG,22000000,49,93400,가솔린,2999,10.1,전륜 FF,31.4,미등록,현대,266,1
더 럭셔리 그랜저,3900000,155,99656,가솔린,2656,10.6,전륜 FF,25.5,등록,현대,195,0
그랜저HG 하이브리드,11800000,97,173294,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저HG 하이브리드,10900000,73,186271,기타,2359,16,전륜 FF,26.7,등록,현대,199,0
그랜저IG,21300000,49,58000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,46,51000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,46,68000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,1
그랜저IG 2.4,17900000,84,85000,가솔린,2359,11.2,전륜 FF,24.6,등록,현대,190,0
